timestamp,symbol,action,strength,composite,ema,imbalance,momentum,bayesian,large_orders,frequency,vol_confirm,ohara_score,reason,accepted
2025-12-08 15:22:39,SOLUSDT,HOLD,0,0.307,0.290,-4.0,33.3,BULLISH,MEDIUM_BUY,VERY_HIGH,NEUTRAL,4,very_high_activity,NO
2025-12-08 15:22:39,ADAUSDT,HOLD,0,-0.021,-0.026,3.4,-69.5,NEUTRAL,STRONG_SELL,HIGH,NEUTRAL,4,below_threshold,NO
2025-12-08 15:22:39,DOGEUSDT,HOLD,0,0.071,0.110,11.5,8.0,BULLISH,STRONG_SELL,HIGH,NEUTRAL,6,below_threshold,NO
2025-12-08 15:22:41,AVAXUSDT,HOLD,0,0.045,0.012,-3.7,6.4,BEARISH,MEDIUM_BUY,VERY_HIGH,NEUTRAL,4,very_high_activity,NO
2025-12-08 15:22:41,AAVEUSDT,HOLD,0,0.115,0.099,-1.6,2.8,BEARISH,STRONG_SELL,VERY_HIGH,NEUTRAL,5,very_high_activity,NO
2025-12-08 15:22:43,STRKUSDT,HOLD,1,-0.185,-0.181,18.3,-63.7,BEARISH,STRONG_SELL,HIGH,NEUTRAL,6,below_threshold,NO
2025-12-08 15:22:45,BTCUSDT,HOLD,0,-0.143,-0.123,-6.8,-22.2,BULLISH,MEDIUM_SELL,VERY_HIGH,NEUTRAL,4,very_high_activity,NO
2025-12-08 15:22:45,ETHUSDT,HOLD,0,0.469,0.474,5.1,56.6,BULLISH,STRONG_BUY,VERY_HIGH,NEUTRAL,5,very_high_activity,NO
2025-12-08 15:22:45,BNBUSDT,HOLD,0,0.080,0.080,3.5,-48.6,BEARISH,STRONG_SELL,HIGH,NEUTRAL,6,below_threshold,NO
2025-12-08 15:22:47,SOLUSDT,HOLD,0,0.171,0.201,-4.0,17.5,BEARISH,MEDIUM_SELL,VERY_HIGH,NEUTRAL,4,very_high_activity,NO
2025-12-08 15:22:47,ADAUSDT,HOLD,0,0.009,0.006,5.4,-85.1,BEARISH,STRONG_SELL,HIGH,NEUTRAL,6,below_threshold,NO
2025-12-08 15:22:47,DOGEUSDT,HOLD,0,0.094,0.098,9.6,-28.8,BEARISH,STRONG_SELL,HIGH,NEUTRAL,6,below_threshold,NO
2025-12-08 15:22:49,AVAXUSDT,HOLD,0,-0.056,-0.039,-3.8,27.6,BEARISH,STRONG_BUY,VERY_HIGH,NEUTRAL,5,very_high_activity,NO
2025-12-08 15:22:49,AAVEUSDT,HOLD,0,0.080,0.084,-2.1,-1.7,BEARISH,STRONG_SELL,VERY_HIGH,NEUTRAL,5,very_high_activity,NO
2025-12-08 15:22:51,STRKUSDT,HOLD,0,0.223,0.122,18.4,-8.9,BEARISH,STRONG_SELL,HIGH,NEUTRAL,6,below_threshold,NO
2025-12-08 15:22:53,BTCUSDT,HOLD,0,-0.393,-0.325,-26.1,-23.9,NEUTRAL,STRONG_SELL,VERY_HIGH,NEUTRAL,3,very_high_activity,NO
2025-12-08 15:22:53,ETHUSDT,HOLD,0,0.245,0.303,-3.4,19.4,BULLISH,STRONG_BUY,VERY_HIGH,NEUTRAL,5,very_high_activity,NO
2025-12-08 15:22:53,BNBUSDT,HOLD,1,-0.194,-0.177,2.7,-65.9,BEARISH,STRONG_SELL,HIGH,NEUTRAL,6,below_threshold,NO
2025-12-08 15:22:55,SOLUSDT,HOLD,0,-0.208,-0.106,-3.3,-11.5,BEARISH,STRONG_SELL,VERY_HIGH,NEUTRAL,5,very_high_activity,NO
